sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H204820685-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210161351-1_NGS91,2a,2a,2a,2a,2a,2a,2a,2a,2a,2a
H210180794-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210180795-1_NGS91,,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210220700-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210220787-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210220788-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210240111-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210240113-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210241030-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210280185-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210280208-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210281395-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210281396-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210281397-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210281398-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210281399-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210300532-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210300533-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210300549-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210300550-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210300551-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210341088-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210360996-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210360997-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210360998-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210360999-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210361033-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210380210-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210380784-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210380785-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210380825-1_NGS91,,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210400331-1_NGS91,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210400388-1_NGS91,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210400421-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210400512-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210420137-1_genomancer_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210420137-1_NGS91,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210420137-2_genomancer_NGS91,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210420662-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210420664-1_NGS91,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H205140999-1_NGS92,,,,3a,,3,3a,3a,3a,3a
H210440756-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210460580-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210480169-1_NGS92,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210480859-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480865-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480866-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480867-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480868-1_NGS92,,,,,,1a,1a,1a,1,1
H210480869-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480870-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210500285-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210500364-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210500432-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210520483-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210520554-1_NGS92,4d,4d,4d,4d,4d,4d,4d,4d,4d,4d
H210520555-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210520556-1_NGS92,1,1a,1a,1a,1a,1a,1,1a,1a,1a
H210520557-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210520558-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210540062-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210540115-1_NGS92,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210540116-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210540575-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210540581-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210560613-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210560614-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210560615-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210560616-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210560748-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580669-1_NGS92,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b
H210580670-1_NGS92,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210580671-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580672-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1,1a,1a
H210580673-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580674-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580675-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580676-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210600302-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210600303-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210600362-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210640639-1_NGS92,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c
H210660797-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210660798-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210660799-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210680422-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210680671-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210680672-1_NGS92,1b,1b,1b,1b,1b,1b,1,1b,1b,1b
H210680673-1_NGS92,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210680674-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181680611-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181840510-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181980646-1_NGS93,1a,,1a,1a,,1a,1a,1a,1a,1a
H182280647-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190460326-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190560313-1_NGS93,,,1a,1a,1a,1a,1a,1a,1a,1a
H190560446-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190680138-1_NGS93,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H190680139-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190780665-1_NGS93,1a,1a,1a,1,1,1a,1a,,1a,1a
H190880323-1_NGS93,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H190880324-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060366-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060367-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060369-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191160037-1_NGS93,1a,,1a,,,1a,1a,,1a,1a
H191480033-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191480035-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760555-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760557-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760560-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760561-1_NGS93,1c,,,,,1a,,1a,1a,1a
H191880052-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H192280401-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H192280402-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210680187-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210680246-1_NGS93,,,3a,,,,,,3a,3a
H210700031-1_NGS93,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210720534-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210720535-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210720656-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210760105-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210760109-1_NGS93,,,,,,,1a,1,,
H210760525-1_NGS93,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210760526-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210760528-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780309-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780571-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780572-1_NGS93,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210781076-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210781077-1_NGS93,,,,1b,1b,1b,1b,1b,1b,1b
H210781078-1_NGS93,,,,1a,1,1a,1a,,1a,1a
H210781079-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210781080-1_NGS93,1a,,1,,1a,1a,1a,1a,1a,1a
H210781081-1_NGS93,1a,1a,1a,1a,1a,1a,1a,,1a,1a
H210781082-1_NGS93,1a,1a,,1a,1a,1a,1a,1a,1a,1a
H210800368-1_NGS93,3a,,3a,3a,3a,3a,3a,3a,3a,3a
H210800427-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210820485-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210820549-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210820554-1_NGS93,,,,,,,,,,
H210820590-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210840136-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210840522-1_NGS93,,,1a,,1a,1a,,,1a,1a
H210840553-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210840556-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210860052-1_NGS93,5a,5a,5a,5a,5a,5a,5a,5a,5a,5a
H210861063-1_NGS93,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
RS17004844-1_NGS93,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181680611-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181840510-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H181980646-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H182280647-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190560313-1_NGS94,,,1a,1a,1a,1a,1a,1a,1a,1a
H190560446-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190680138-1_NGS94,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H190680139-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H190780665-1_NGS94,1a,1a,1a,1,1a,1a,1a,1a,1a,1a
H190880323-1_NGS94,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H190880324-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060366-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
