sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H205140999-1_NGS92,,,,3a,,3,3a,3a,3a,3a
H210440756-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210460580-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210480169-1_NGS92,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210480859-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480865-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480866-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480867-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480868-1_NGS92,,,,,,1a,1a,1a,1,1
H210480869-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210480870-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210500285-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210500364-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210500432-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210520483-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210520554-1_NGS92,4d,4d,4d,4d,4d,4d,4d,4d,4d,4d
H210520555-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210520556-1_NGS92,1,1a,1a,1a,1a,1a,1,1a,1a,1a
H210520557-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210520558-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210540062-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210540115-1_NGS92,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210540116-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210540575-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210540581-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210560613-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210560614-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210560615-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210560616-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210560748-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580669-1_NGS92,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b
H210580670-1_NGS92,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210580671-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580672-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1,1a,1a
H210580673-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580674-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580675-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210580676-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210600302-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210600303-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210600362-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210640639-1_NGS92,2c,2c,2c,2c,2c,2c,2c,2c,2c,2c
H210660797-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210660798-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210660799-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210680422-1_NGS92,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210680671-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210680672-1_NGS92,1b,1b,1b,1b,1b,1b,1,1b,1b,1b
H210680673-1_NGS92,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210680674-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_1-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
PC_2-1_NGS92,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
