ID,genotype,subtype,gen_sub,reference_status
NC_004102,1,a,1a,confirmed
AF009606,1,a,1a,confirmed
M62321,1,a,1a,confirmed
M67463,1,a,1a,confirmed
HQ850279,1,a,1a,confirmed
EF407457,1,a,1a,confirmed
D90208,1,b,1b,confirmed
M58335,1,b,1b,confirmed
EU781827,1,b,1b,confirmed
EU781828,1,b,1b,confirmed
D14853,1,c,1c,confirmed
AY051292,1,c,1c,confirmed
AY651061,1,c,1c,confirmed
KJ439768,1,d,1d,confirmed
KC248194,1,e,1e,confirmed
AM910652,1,g,1g,confirmed
KC248198,1,h,1h,confirmed
KC248199,1,h,1h,confirmed
KJ439772,1,i,1i,confirmed
KJ439773,1,j,1j,confirmed
KJ439774,1,k,1k,confirmed
KC248193,1,l,1l,confirmed
KC248197,1,l,1l,confirmed
KC248196,1,l,1l,confirmed
KJ439778,1,m,1m,confirmed
KJ439782,1,m,1m,confirmed
KJ439781,1,n,1n,confirmed
KJ439775,1,n,1n,confirmed
KJ439779,1,o,1o,confirmed
MH885469,1,o,1o,confirmed
HQ537007,1,-,1,unassigned
AJ851228,1,-,1,unassigned
KC248195,1,-,1,unassigned
KJ439780,1,-,1,unassigned
KJ439776,1,-,1,unassigned
KJ439777,1,-,1,unassigned
D00944,2,a,2a,confirmed
AB047639,2,a,2a,confirmed
HQ639944,2,a,2a,confirmed
D10988,2,b,2b,confirmed
AB030907,2,b,2b,confirmed
AB661388,2,b,2b,confirmed
AB661382,2,b,2b,confirmed
D50409,2,c,2c,confirmed
JX227949,2,c,2c,confirmed
JF735114,2,d,2d,confirmed
JF735120,2,e,2e,confirmed
KC844042,2,f,2f,confirmed
KC844050,2,f,2f,confirmed
DQ155561,2,i,2i,confirmed
HM777358,2,j,2j,confirmed
JF735113,2,j,2j,confirmed
HM777359,2,j,2j,confirmed
AB031663,2,k,2k,confirmed
JX227953,2,k,2k,confirmed
JF735111,2,m,2m,confirmed
JX227967,2,m,2m,confirmed
FN666428,2,q,2q,confirmed
FN666429,2,q,2q,confirmed
JF735115,2,r,2r,confirmed
KC197238,2,t,2t,confirmed
JF735112,2,u,2u,confirmed
JF735116,2,-,2,unassigned
JF735118,2,-,2,unassigned
JF735117,2,-,2,unassigned
JF735119,2,-,2,unassigned
JF735110,2,-,2,unassigned
KC197236,2,-,2,unassigned
KC197237,2,-,2,unassigned
KC197239,2,-,2,unassigned
D17763,3,a,3a,confirmed
D28917,3,a,3a,confirmed
X76918,3,a,3a,confirmed
JN714194,3,a,3a,confirmed
D49374,3,b,3b,confirmed
JQ065709,3,b,3b,confirmed
KJ470619,3,d,3d,confirmed
KJ470618,3,e,3e,confirmed
JX227954,3,g,3g,confirmed
JF735123,3,g,3g,confirmed
JF735126,3,h,3h,confirmed
JF735121,3,h,3h,confirmed
FJ407092,3,i,3i,confirmed
JX227955,3,i,3i,confirmed
D63821,3,k,3k,confirmed
JF735122,3,k,3k,confirmed
JF735124,3,-,3,unassigned
Y11604,4,a,4a,confirmed
DQ988074,4,a,4a,confirmed
DQ418789,4,a,4a,confirmed
FJ462435,4,b,4b,confirmed
FJ462436,4,c,4c,confirmed
DQ418786,4,d,4d,confirmed
FJ462437,4,d,4d,confirmed
EU392172,4,d,4d,confirmed
EF589161,4,f,4f,confirmed
EU392175,4,f,4f,confirmed
EU392174,4,f,4f,confirmed
FJ462432,4,g,4g,confirmed
JX227971,4,g,4g,confirmed
JX227963,4,g?,4g?,confirmed
EU392173,4,k,4k,confirmed
FJ462438,4,k,4k,confirmed
EU392171,4,k,4k,confirmed
FJ839870,4,l,4l,confirmed
JX227957,4,l,4l,confirmed
FJ462433,4,m,4m,confirmed
JX227972,4,m,4m,confirmed
FJ462441,4,n,4n,confirmed
JX227970,4,n,4n,confirmed
FJ462440,4,o,4o,confirmed
JX227977,4,o,4o,confirmed
FJ462431,4,p,4p,confirmed
FJ462434,4,q,4q,confirmed
FJ462439,4,r,4r,confirmed
JX227976,4,r,4r,confirmed
JF735136,4,s,4s,confirmed
FJ839869,4,t,4t,confirmed
HQ537009,4,v,4v,confirmed
JX227959,4,v,4v,confirmed
HQ537008,4,v,4v,confirmed
JX227960,4,v,4v,confirmed
FJ025855,4,w,4w,confirmed
FJ025856,4,w,4w,confirmed
FJ025854,4,-,4,unassigned
JX227964,4,-,4,unassigned
JF735127,4,-,4,unassigned
JF735132,4,-,4,unassigned
JF735131,4,-,4,unassigned
JF735130,4,-,4,unassigned
JF735129,4,-,4,unassigned
JF735138,4,-,4,unassigned
JF735135,4,-,4,unassigned
JF735134,4,-,4,unassigned
AF064490,5,a,5a,confirmed
Y13184,5,a,5a,confirmed
KT595242,5,-,5,unassigned
Y12083,6,a,6a,confirmed
AY859526,6,a,6a,confirmed
HQ639936,6,a,6a,confirmed
EU246930,6,a,6a,confirmed
D84262,6,b,6b,confirmed
EF424629,6,c,6c,confirmed
D84263,6,d,6d,confirmed
DQ314805,6,e,6e,confirmed
EU246932,6,e,6e,confirmed
EU246931,6,e?,6e?,confirmed
DQ835760,6,f,6f,confirmed
EU246936,6,f,6f,confirmed
D63822,6,g,6g,confirmed
DQ314806,6,g,6g,confirmed
D84265,6,h,6h,confirmed
DQ835770,6,i,6i,confirmed
DQ835762,6,i,6i,confirmed
DQ835769,6,j,6j,confirmed
DQ835761,6,j,6j,confirmed
D84264,6,k,6k,confirmed
EF424628,6,l,6l,confirmed
JX183556,6,l,6l,confirmed
DQ835767,6,m,6m,confirmed
DQ835766,6,m,6m,confirmed
DQ278894,6,n,6n,confirmed
DQ835768,6,n,6n,confirmed
EU246938,6,n,6n,confirmed
EF424627,6,o,6o,confirmed
EU246934,6,o,6o,confirmed
EF424626,6,p,6p,confirmed
EF424625,6,q,6q,confirmed
EU408328,6,r,6r,confirmed
EU408329,6,s,6s,confirmed
EF632071,6,t,6t,confirmed
EU246939,6,t,6t,confirmed
EU246940,6,u,6u,confirmed
EU158186,6,v,6v,confirmed
EU798760,6,v,6v,confirmed
EU798761,6,v,6v,confirmed
DQ278892,6,w,6w,confirmed
EU643834,6,w,6w,confirmed
EU643836,6,w,6w,confirmed
EU408330,6,xa,6xa,confirmed
EU408332,6,xa,6xa,confirmed
EU408331,6,xa,6xa,confirmed
JX183552,6,xb,6xb,confirmed
KJ567645,6,xb,6xb,confirmed
KJ567651,6,xc,6xc,confirmed
