CORNB,CORNB_FULLNAME
ROYA03,The Royal London Hospital
TAUNP0,Nuffield Health Taunton Hospital
JOHN23,John Radcliffe Hospital
LEEDP,Leeds Teaching Hospitals NHS Trust
LUTOP,Luton & Dunstable University Hospital
WATF01,Watford General Hospital
WSUF00,West Suffolk NHS Foundation Trust
UCDU00,University of Dundee Hospital
SCUN02,Scunthorpe General Hospital
SGEO07,St George's Hospital
EBOU06,Great Ormond Street Hospital for Children
FREE10,Royal Free Hospital 
COVE01,University Hospitals Coventry & Warwickshire
BIRMP,Birmingham City Hospital
HEPS01,Imperial College Healthcare NHS Trust
MANCP0,Manchester Royal Infirmary
SWANP,Morriston Hospital 
SHEFP,Sheffield Teaching Hospital
ROLD00,Royal Alexandra Hospital
WEXH01,Wexham Park Hospital
BRIGP0,Royal Sussex County Hospital
QUEE13,Queen's Hospital
BRIS14,University Hospital’s Bristol
RHAL10,Royal Hospital Chelsea
HUDD01,Huddersfield Royal Infirmary
WREX03,Wrexham Maelor Hospital
UCLH,University College London Hospital
