LID,LPERIOD,ORDNB,CONTMC,CONTMCSEQ,POS,BCSEQ,BC
H2,482,685,SHCSR,9,1,,
H2,1016,1351,SHCSR,9,2,,
H2,1018,794,SHCSR,9,3,,
H2,1018,795,SHCSR,10,4,,
H2,1022,700,SHCSR,10,5,,
H2,1022,788,SHESR,10,6,,
H2,1024,111,SHCSR,9,7,,
H2,1024,113,SHCSR,9,8,,
H2,1022,787,SHCSR,9,9,,
H2,1024,1030,SHESR,10,10,,
H2,1050,364,SHCSR,9,11,,
H2,1028,185,SHCSR,9,12,,
H2,1028,208,SHCSR,10,13,,
H2,1028,1395,SHCSR,9,14,,
H2,1082,549,SHCSR,9,15,,
H2,1152,43,SHESR,9,16,,
H2,1028,1396,SHCSR,10,17,,
H2,1028,1397,SHCSR,10,18,,
H2,1028,1398,SHCSR,10,19,,
H2,1028,1399,SHESR,9,20,,
H2,1030,532,SHCSR,9,21,,
H2,1030,533,SHCSR,9,22,,
H2,1030,549,SHCSR,10,23,,
H2,1030,550,SHCSR,9,24,,
H2,1030,551,SHCSR,9,25,,
H2,1034,1088,SHESR,10,26,,
H2,1036,996,SHCSR,9,27,,
H2,1036,997,SHCSR,9,28,,
H2,1036,998,SHCSR,9,29,,
H2,1036,999,SHESR,10,30,,
H2,1036,1033,SHCSR,10,31,,
H2,1038,210,SHCSR,10,32,,
H2,1038,784,SHCSR,9,33,,
H2,1038,785,SHCSR,9,34,,
H2,1038,825,SHCSR,9,35,,
H2,1040,331,SHESR,10,36,,
H2,1040,388,SHCSR,9,37,,
H2,1040,421,SHCSR,9,38,,
H2,1040,512,SHCSR,10,39,,
H2,1042,137,SHESR,9,40,,
H2,1042,662,SHCSR,9,41,,
H2,1042,664,SHCSR,9,42,,
H2,514,999,SHCSR,10,43,,
H2,1044,756,SHCSR,10,44,,
H2,1046,580,SHCSR,10,45,,
H2,1048,169,SHESR,9,46,,
H2,1048,859,SHCSR,9,47,,
H2,1048,865,SHCSR,9,48,,
H2,1048,866,SHCSR,10,49,,
H2,1048,867,SHESR,9,50,,
H2,1048,868,SHCSR,9,51,,
H2,1048,869,SHCSR,10,52,,
H2,1048,870,SHCSR,9,53,,
H2,1050,285,SHCSR,9,54,,
H2,1050,432,SHCSR,9,55,,
H2,1052,483,SHESR,10,56,,
H2,1052,554,SHCSR,10,57,,
H2,1052,555,SHCSR,10,58,,
H2,1052,556,SHCSR,9,59,,
H2,1052,557,SHESR,9,60,,
H2,1052,558,SHCSR,9,61,,
H2,1054,62,SHCSR,10,62,,
H2,1054,115,SHCSR,9,63,,
H2,1054,116,SHCSR,9,64,,
H2,1054,575,SHCSR,10,65,,
H2,1054,581,SHESR,9,66,,
H2,1056,613,SHCSR,9,67,,
H2,1056,614,SHCSR,9,68,,
H2,1056,615,SHCSR,10,69,,
H2,1056,616,SHESR,10,70,,
H2,1056,748,SHCSR,10,71,,
H2,1058,669,SHCSR,9,72,,
H2,1058,670,SHCSR,9,73,,
H2,1058,671,SHCSR,9,74,,
H2,1058,672,SHCSR,10,75,,
H2,1058,673,SHESR,9,76,,
H2,1058,674,SHCSR,9,77,,
H2,1058,675,SHCSR,10,78,,
H2,1058,676,SHCSR,9,79,,
H2,1060,302,SHESR,9,80,,
H2,1060,303,SHCSR,9,81,,
H2,1060,362,SHCSR,10,82,,
H2,1064,639,SHCSR,10,83,,
H2,1066,797,SHCSR,10,84,,
H2,1066,798,SHCSR,9,85,,
H2,1066,799,SHESR,9,86,,
H2,1068,422,SHCSR,9,87,,
H2,1068,671,SHCSR,10,88,,
H2,1068,672,SHCSR,9,89,,
H2,1068,673,SHESR,9,90,,
H2,1068,674,SHCSR,10,91,,
H1,8168,611,SHCSR,9,92,,
H1,8184,510,SHCSR,9,93,,
H1,8198,646,SHCSR,9,94,,
H1,8228,647,SHCSR,10,95,,
H1,9046,326,SHESR,10,96,,
H1,9056,313,SHCSR,10,97,,
H1,9056,446,SHCSR,9,98,,
H1,9068,138,SHCSR,9,99,,
H1,9068,139,SHESR,9,100,,
H1,9078,665,SHCSR,10,101,,
H1,9088,323,SHCSR,9,102,,
H1,9088,324,SHCSR,9,103,,
H1,9106,366,SHCSR,10,104,,
H1,9106,367,SHCSR,9,105,,
H1,9106,369,SHESR,9,106,,
H1,9116,37,SHCSR,9,107,,
H1,9148,33,SHCSR,10,108,,
H1,9148,35,SHCSR,10,109,,
H1,9176,555,SHESR,10,110,,
H1,9176,557,SHCSR,9,111,,
H1,9176,560,SHCSR,9,112,,
H1,9176,561,SHCSR,9,113,,
H1,9188,52,SHCSR,10,114,,
H1,9228,401,SHCSR,9,115,,
H1,9228,402,SHESR,9,116,,
H2,1068,187,SHCSR,10,117,,
H2,1068,246,SHCSR,9,118,,
H2,1070,31,SHCSR,9,119,,
H2,1072,534,SHESR,9,120,,
H2,1092,588,SHCSR,10,121,,
H2,1152,439,SHCSR,10,122,,
H2,1072,535,SHCSR,10,123,,
H2,1072,656,SHCSR,9,124,,
H2,1076,105,SHCSR,9,125,,
H2,1076,109,SHESR,9,126,,
H2,1076,525,SHCSR,10,127,,
H2,1076,526,SHCSR,9,128,,
H2,1076,528,SHCSR,9,129,,
H2,1078,309,SHESR,10,130,,
H2,1078,571,SHCSR,9,131,,
H2,1078,572,SHCSR,9,132,,
H2,1078,1076,SHCSR,9,133,,
H2,1078,1077,SHCSR,10,134,,
H2,1078,1078,SHCSR,10,135,,
H2,1078,1079,SHESR,10,136,,
H2,1078,1080,SHCSR,9,137,,
H2,1078,1081,SHCSR,9,138,,
H2,1078,1082,SHCSR,9,139,,
H2,1080,368,SHESR,10,140,,
H2,1080,427,SHCSR,9,141,,
H2,1082,485,SHCSR,9,142,,
H2,1082,554,SHCSR,10,143,,
H2,1082,590,SHCSR,9,144,,
H2,1084,136,SHCSR,9,145,,
H2,1084,522,SHESR,9,146,,
H2,1084,553,SHCSR,10,147,,
H2,1084,556,SHCSR,10,148,,
H2,1086,52,SHCSR,10,149,,
H2,1086,1063,SHESR,9,150,,
RS,1700,4844,SHCSR,9,151,,
H2,1078,1282,SHCSR,9,152,,
H2,1082,484,SHCSR,10,153,,
H2,1070,34,SHCSR,9,154,,
H2,1088,181,SHCSR,9,155,,
H2,1088,650,SHESR,10,156,,
H2,1088,653,SHCSR,9,157,,
H2,1088,654,SHCSR,9,158,,
H2,1088,664,SHCSR,9,159,,
H2,1088,665,SHESR,10,160,,
H2,1088,666,SHCSR,10,161,,
