refName	segments
REF_1a_AF009606	[1491, 2579]
REF_1a_EF407457	[1295, 2383]
REF_1a_HQ850279	[1340, 2428]
REF_1a_M62321	[1491, 2579]
REF_1a_M67463	[1491, 2579]
REF_1a_NC_004102	[1491, 2579]
REF_1b_D90208	[1479, 2567]
REF_1b_EU781827	[1465, 2553]
REF_1b_EU781828	[1454, 2542]
REF_1b_M58335	[1482, 2570]
REF_1c_AY051292	[1491, 2579]
REF_1c_AY651061	[1491, 2579]
REF_1c_D14853	[1491, 2579]
REF_1d_KJ439768	[1491, 2579]
REF_1e_KC248194	[1490, 2590]
REF_1g_AM910652	[1463, 2563]
REF_1h_KC248198	[1491, 2582]
REF_1h_KC248199	[1491, 2582]
REF_1i_KJ439772	[1491, 2591]
REF_1j_KJ439773	[1491, 2579]
REF_1k_KJ439774	[1491, 2579]
REF_1l_KC248193	[1492, 2598]
REF_1l_KC248196	[1492, 2598]
REF_1l_KC248197	[1495, 2601]
REF_1m_KJ439778	[1491, 2582]
REF_1m_KJ439782	[1491, 2579]
REF_1n_KJ439775	[1491, 2579]
REF_1n_KJ439781	[1492, 2580]
REF_1o_KJ439779	[1492, 2580]
REF_1o_MH885469	[1442, 2530]
REF_1_AJ851228	[1464, 2555]
REF_1_HQ537007	[1385, 2473]
REF_1_KC248195	[1497, 2603]
REF_1_KJ439776	[1492, 2598]
REF_1_KJ439777	[1491, 2579]
REF_1_KJ439780	[1491, 2579]
REF_1_NC_004102	[1491, 2579]
REF_2a_AB047639	[1490, 2590]
REF_2a_D00944	[1490, 2590]
REF_2a_HQ639944	[1426, 2526]
REF_2b_AB030907	[1491, 2591]
REF_2b_AB661382	[1150, 2250]
REF_2b_AB661388	[1150, 2250]
REF_2b_D10988	[1491, 2591]
REF_2c_D50409	[1490, 2590]
REF_2c_JX227949	[1405, 2505]
REF_2d_JF735114	[1490, 2590]
REF_2e_JF735120	[1490, 2590]
REF_2f_KC844042	[1490, 2590]
REF_2f_KC844050	[1490, 2590]
REF_2i_DQ155561	[1463, 2563]
REF_2j_HM777358	[1410, 2510]
REF_2j_HM777359	[1410, 2510]
REF_2j_JF735113	[1490, 2590]
REF_2k_AB031663	[1491, 2591]
REF_2k_JX227953	[1412, 2512]
REF_2m_JF735111	[1490, 2590]
REF_2m_JX227967	[1413, 2513]
REF_2q_FN666428	[1463, 2563]
REF_2q_FN666429	[1463, 2563]
REF_2r_JF735115	[1490, 2590]
REF_2t_KC197238	[1469, 2569]
REF_2u_JF735112	[1490, 2590]
REF_2_D00944	[1490, 2590]
REF_2_JF735110	[1490, 2590]
REF_2_JF735116	[1490, 2590]
REF_2_JF735117	[1490, 2584]
REF_2_JF735118	[1490, 2590]
REF_2_JF735119	[1491, 2588]
REF_2_KC197236	[1463, 2563]
REF_2_KC197237	[1463, 2563]
REF_2_KC197239	[1466, 2566]
REF_3a_D17763	[1489, 2595]
REF_3a_D28917	[1489, 2595]
REF_3a_JN714194	[1493, 2599]
REF_3a_X76918	[1448, 2554]
REF_3b_D49374	[1492, 2601]
REF_3b_JQ065709	[1464, 2573]
REF_3d_KJ470619	[1490, 2596]
REF_3e_KJ470618	[1489, 2592]
REF_3g_JF735123	[1489, 2598]
REF_3g_JX227954	[1414, 2523]
REF_3h_JF735121	[1489, 2592]
REF_3h_JF735126	[1489, 2592]
REF_3i_FJ407092	[1490, 2596]
REF_3i_JX227955	[1415, 2521]
REF_3k_D63821	[1489, 2592]
REF_3k_JF735122	[1489, 2592]
REF_3_D17763	[1489, 2595]
REF_3_JF735124	[1489, 2589]
REF_4a_DQ418789	[1411, 2499]
REF_4a_DQ988074	[1409, 2494]
REF_4a_Y11604	[1429, 2517]
REF_4b_FJ462435	[1490, 2578]
REF_4c_FJ462436	[1490, 2578]
REF_4d_DQ418786	[1384, 2469]
REF_4d_EU392172	[1412, 2497]
REF_4d_FJ462437	[1490, 2575]
REF_4f_EF589161	[1424, 2518]
REF_4f_EU392174	[1412, 2506]
REF_4f_EU392175	[1411, 2505]
REF_4g?_JX227963	[1413, 2489]
REF_4g_FJ462432	[1491, 2570]
REF_4g_JX227971	[1280, 2359]
REF_4k_EU392171	[1376, 2464]
REF_4k_EU392173	[1413, 2501]
REF_4k_FJ462438	[1491, 2579]
REF_4l_FJ839870	[1490, 2575]
REF_4l_JX227957	[1410, 2495]
REF_4m_FJ462433	[1491, 2576]
REF_4m_JX227972	[1413, 2498]
REF_4n_FJ462441	[1490, 2581]
REF_4n_JX227970	[1412, 2500]
REF_4o_FJ462440	[1491, 2579]
REF_4o_JX227977	[1398, 2486]
REF_4p_FJ462431	[1490, 2578]
REF_4q_FJ462434	[1491, 2576]
REF_4r_FJ462439	[1490, 2578]
REF_4r_JX227976	[1412, 2500]
REF_4s_JF735136	[1491, 2579]
REF_4t_FJ839869	[1490, 2578]
REF_4v_HQ537008	[1406, 2491]
REF_4v_HQ537009	[1406, 2494]
REF_4v_JX227959	[1423, 2508]
REF_4v_JX227960	[1376, 2464]
REF_4w_FJ025855	[1340, 2428]
REF_4w_FJ025856	[1340, 2428]
REF_4_FJ025854	[1340, 2428]
REF_4_JF735127	[1490, 2578]
REF_4_JF735129	[1490, 2575]
REF_4_JF735130	[1490, 2575]
REF_4_JF735131	[1491, 2576]
REF_4_JF735132	[1490, 2578]
REF_4_JF735134	[1490, 2578]
REF_4_JF735135	[1490, 2578]
REF_4_JF735138	[1493, 2581]
REF_4_JX227964	[1424, 2512]
REF_4_Y11604	[1429, 2517]
REF_5a_AF064490	[1396, 2487]
REF_5a_Y13184	[1429, 2520]
REF_5_AF064490	[1396, 2487]
REF_5_KT595242	[1396, 2487]
REF_6a_AY859526	[1445, 2548]
REF_6a_EU246930	[1466, 2569]
REF_6a_HQ639936	[1429, 2532]
REF_6a_Y12083	[1433, 2533]
REF_6b_D84262	[1492, 2595]
REF_6c_EF424629	[1489, 2577]
REF_6d_D84263	[1488, 2570]
REF_6e?_EU246931	[1463, 2563]
REF_6e_DQ314805	[1488, 2588]
REF_6e_EU246932	[1463, 2563]
REF_6f_DQ835760	[1488, 2576]
REF_6f_EU246936	[1463, 2551]
REF_6g_D63822	[1488, 2588]
REF_6g_DQ314806	[1488, 2588]
REF_6h_D84265	[1488, 2579]
REF_6i_DQ835762	[1488, 2582]
REF_6i_DQ835770	[1488, 2582]
REF_6j_DQ835761	[1488, 2582]
REF_6j_DQ835769	[1488, 2582]
REF_6k_D84264	[1488, 2582]
REF_6l_EF424628	[1488, 2582]
REF_6l_JX183556	[1488, 2582]
REF_6m_DQ835766	[1488, 2582]
REF_6m_DQ835767	[1488, 2582]
REF_6n_DQ278894	[1492, 2583]
REF_6n_DQ835768	[1488, 2579]
REF_6n_EU246938	[1463, 2554]
REF_6o_EF424627	[1488, 2579]
REF_6o_EU246934	[1463, 2554]
REF_6p_EF424626	[1489, 2580]
REF_6q_EF424625	[1489, 2580]
REF_6r_EU408328	[1488, 2579]
REF_6s_EU408329	[1488, 2582]
REF_6t_EF632071	[1474, 2565]
REF_6t_EU246939	[1463, 2554]
REF_6u_EU246940	[1463, 2560]
REF_6v_EU158186	[1457, 2551]
