refName	segments
REF_1a_AF009606	[5475, 6257]
REF_1a_EF407457	[5279, 6061]
REF_1a_HQ850279	[5324, 6106]
REF_1a_M62321	[5475, 6257]
REF_1a_M67463	[5475, 6257]
REF_1a_NC_004102	[5475, 6257]
REF_1b_D90208	[5463, 6245]
REF_1b_EU781827	[5449, 6231]
REF_1b_EU781828	[5438, 6220]
REF_1b_M58335	[5466, 6248]
REF_1c_AY051292	[5475, 6257]
REF_1c_AY651061	[5475, 6257]
REF_1c_D14853	[5475, 6257]
REF_1d_KJ439768	[5475, 6257]
REF_1e_KC248194	[5486, 6268]
REF_1g_AM910652	[5459, 6241]
REF_1h_KC248198	[5478, 6260]
REF_1h_KC248199	[5478, 6260]
REF_1i_KJ439772	[5487, 6269]
REF_1j_KJ439773	[5475, 6257]
REF_1k_KJ439774	[5475, 6257]
REF_1l_KC248193	[5494, 6276]
REF_1l_KC248196	[5494, 6276]
REF_1l_KC248197	[5497, 6279]
REF_1m_KJ439778	[5478, 6260]
REF_1m_KJ439782	[5475, 6257]
REF_1n_KJ439775	[5475, 6257]
REF_1n_KJ439781	[5476, 6258]
REF_1o_KJ439779	[5476, 6258]
REF_1o_MH885469	[5426, 6208]
REF_1_AJ851228	[5451, 6233]
REF_1_HQ537007	[5369, 6151]
REF_1_KC248195	[5499, 6281]
REF_1_KJ439776	[5494, 6276]
REF_1_KJ439777	[5475, 6257]
REF_1_KJ439780	[5475, 6257]
REF_1_NC_004102	[5475, 6257]
REF_2a_AB047639	[5486, 6268]
REF_2a_D00944	[5486, 6268]
REF_2a_HQ639944	[5422, 6204]
REF_2b_AB030907	[5487, 6269]
REF_2b_AB661382	[5146, 5928]
REF_2b_AB661388	[5146, 5928]
REF_2b_D10988	[5487, 6269]
REF_2c_D50409	[5486, 6268]
REF_2c_JX227949	[5425, 6207]
REF_2d_JF735114	[5486, 6268]
REF_2e_JF735120	[5687, 6469]
REF_2f_KC844042	[5486, 6268]
REF_2f_KC844050	[5486, 6268]
REF_2i_DQ155561	[5459, 6241]
REF_2j_HM777358	[5406, 6188]
REF_2j_HM777359	[5406, 6188]
REF_2j_JF735113	[5486, 6268]
REF_2k_AB031663	[5487, 6269]
REF_2k_JX227953	[5408, 6190]
REF_2m_JF735111	[5486, 6268]
REF_2m_JX227967	[5409, 6191]
REF_2q_FN666428	[5459, 6241]
REF_2q_FN666429	[5459, 6241]
REF_2r_JF735115	[5486, 6268]
REF_2t_KC197238	[5465, 6247]
REF_2u_JF735112	[5486, 6268]
REF_2_D00944	[5486, 6268]
REF_2_JF735110	[5486, 6268]
REF_2_JF735116	[5486, 6268]
REF_2_JF735117	[5480, 6262]
REF_2_JF735118	[5486, 6268]
REF_2_JF735119	[5484, 6266]
REF_2_KC197236	[5459, 6241]
REF_2_KC197237	[5459, 6241]
REF_2_KC197239	[5462, 6244]
REF_3a_D17763	[5491, 6273]
REF_3a_D28917	[5491, 6273]
REF_3a_JN714194	[5495, 6277]
REF_3a_X76918	[5450, 6232]
REF_3b_D49374	[5497, 6279]
REF_3b_JQ065709	[5469, 6251]
REF_3d_KJ470619	[5492, 6274]
REF_3e_KJ470618	[5488, 6270]
REF_3g_JF735123	[5494, 6276]
REF_3g_JX227954	[5419, 6201]
REF_3h_JF735121	[5488, 6270]
REF_3h_JF735126	[5488, 6270]
REF_3i_FJ407092	[5492, 6274]
REF_3i_JX227955	[5417, 6199]
REF_3k_D63821	[5488, 6270]
REF_3k_JF735122	[5488, 6270]
REF_3_D17763	[5491, 6273]
REF_3_JF735124	[5485, 6267]
REF_4a_DQ418789	[5395, 6177]
REF_4a_DQ988074	[5390, 6172]
REF_4a_Y11604	[5413, 6195]
REF_4b_FJ462435	[5474, 6256]
REF_4c_FJ462436	[5474, 6256]
REF_4d_DQ418786	[5365, 6147]
REF_4d_EU392172	[5393, 6175]
REF_4d_FJ462437	[5471, 6253]
REF_4f_EF589161	[5414, 6196]
REF_4f_EU392174	[5402, 6184]
REF_4f_EU392175	[5401, 6183]
REF_4g?_JX227963	[5385, 6167]
REF_4g_FJ462432	[5466, 6248]
REF_4g_JX227971	[5255, 6037]
REF_4k_EU392171	[5360, 6142]
REF_4k_EU392173	[5397, 6179]
REF_4k_FJ462438	[5475, 6257]
REF_4l_FJ839870	[5471, 6253]
REF_4l_JX227957	[5391, 6173]
REF_4m_FJ462433	[5472, 6254]
REF_4m_JX227972	[5394, 6176]
REF_4n_FJ462441	[5477, 6259]
REF_4n_JX227970	[5396, 6178]
REF_4o_FJ462440	[5475, 6257]
REF_4o_JX227977	[5382, 6164]
REF_4p_FJ462431	[5474, 6256]
REF_4q_FJ462434	[5472, 6254]
REF_4r_FJ462439	[5474, 6256]
REF_4r_JX227976	[5396, 6178]
REF_4s_JF735136	[5475, 6257]
REF_4t_FJ839869	[5474, 6256]
REF_4v_HQ537008	[5387, 6169]
REF_4v_HQ537009	[5390, 6172]
REF_4v_JX227959	[5404, 6186]
REF_4v_JX227960	[5360, 6142]
REF_4w_FJ025855	[5324, 6106]
REF_4w_FJ025856	[5324, 6106]
REF_4_FJ025854	[5324, 6106]
REF_4_JF735127	[5474, 6256]
REF_4_JF735129	[5471, 6253]
REF_4_JF735130	[5471, 6253]
REF_4_JF735131	[5472, 6254]
REF_4_JF735132	[5474, 6256]
REF_4_JF735134	[5474, 6256]
REF_4_JF735135	[5474, 6256]
REF_4_JF735138	[5477, 6259]
REF_4_JX227964	[5408, 6190]
REF_4_Y11604	[5413, 6195]
REF_5a_AF064490	[5383, 6165]
REF_5a_Y13184	[5416, 6198]
REF_5_AF064490	[5383, 6165]
REF_5_KT595242	[5383, 6165]
REF_6a_AY859526	[5444, 6226]
REF_6a_EU246930	[5465, 6247]
REF_6a_HQ639936	[5428, 6210]
REF_6a_Y12083	[5429, 6211]
REF_6b_D84262	[5491, 6273]
REF_6c_EF424629	[5473, 6255]
REF_6d_D84263	[5466, 6248]
REF_6e?_EU246931	[5459, 6241]
REF_6e_DQ314805	[5484, 6266]
REF_6e_EU246932	[5459, 6241]
REF_6f_DQ835760	[5472, 6254]
REF_6f_EU246936	[5447, 6229]
REF_6g_D63822	[5484, 6266]
REF_6g_DQ314806	[5484, 6266]
REF_6h_D84265	[5475, 6257]
REF_6i_DQ835762	[5478, 6260]
REF_6i_DQ835770	[5478, 6260]
REF_6j_DQ835761	[5478, 6260]
REF_6j_DQ835769	[5478, 6260]
REF_6k_D84264	[5478, 6260]
REF_6l_EF424628	[5478, 6260]
REF_6l_JX183556	[5478, 6260]
REF_6m_DQ835766	[5478, 6260]
REF_6m_DQ835767	[5478, 6260]
REF_6n_DQ278894	[5479, 6261]
REF_6n_DQ835768	[5475, 6257]
REF_6n_EU246938	[5450, 6232]
REF_6o_EF424627	[5475, 6257]
REF_6o_EU246934	[5450, 6232]
REF_6p_EF424626	[5476, 6258]
REF_6q_EF424625	[5476, 6258]
REF_6r_EU408328	[5475, 6257]
REF_6s_EU408329	[5478, 6260]
REF_6t_EF632071	[5461, 6243]
REF_6t_EU246939	[5450, 6232]
REF_6u_EU246940	[5456, 6238]
REF_6v_EU158186	[5447, 6229]
REF_6v_EU798760	[5478, 6260]
REF_6v_EU798761	[5447, 6229]
REF_6w_DQ278892	[5488, 6270]
REF_6w_EU643834	[5214, 5996]
REF_6w_EU643836	[5211, 5993]
REF_6xa_EU408330	[5462, 6244]
REF_6xa_EU408331	[5462, 6244]
REF_6xa_EU408332	[5462, 6244]
REF_6xb_JX183552	[5478, 6260]
REF_6xb_KJ567645	[5478, 6260]
REF_6xc_KJ567651	[5493, 6275]
REF_6xd_KM252789	[5490, 6272]
REF_6xd_KM252790	[5493, 6275]
REF_6xd_KM252791	[5493, 6275]
REF_6xe_JX183557	[5481, 6263]
REF_6xe_KM252792	[5481, 6263]
REF_6xf_KJ567646	[5484, 6266]
REF_6xf_KJ567647	[5476, 6258]
REF_6xg_MH492360	[5409, 6191]
REF_6xg_MH492361	[5409, 6191]
REF_6xg_MH492362	[5409, 6191]
REF_6xh_MG879000	[5146, 5928]
REF_6_DQ278891	[5477, 6259]
REF_6_DQ278893	[5478, 6260]
REF_6_JX183549	[5475, 6257]
REF_6_JX183550	[5475, 6257]
REF_6_JX183551	[5478, 6260]
REF_6_JX183553	[5478, 6260]
REF_6_JX183554	[5478, 6260]
REF_6_JX183558	[5478, 6260]
REF_6_KC844039	[5496, 6278]
REF_6_KC844040	[5481, 6263]
REF_6_KJ470620	[5489, 6271]
REF_6_KJ470621	[5486, 6268]
REF_6_KJ470622	[5485, 6267]
REF_6_KJ470623	[5473, 6255]
REF_6_KJ470624	[5486, 6268]
REF_6_KJ470625	[5473, 6255]
REF_6_KJ567644	[5463, 6245]
REF_6_KJ567648	[5479, 6261]
REF_6_KJ567649	[5490, 6272]
REF_6_KJ567650	[5490, 6272]
REF_6_KJ567652	[5487, 6269]
REF_6_MG878999	[5146, 5928]
REF_6_Y12083	[5429, 6211]
REF_7a_EF108306	[5485, 6267]
REF_7b_KX092342	[5488, 6270]
REF_7_EF108306	[5485, 6267]
REF_8a_MH590698	[5485, 6267]
REF_8a_MH590699	[5467, 6249]
REF_8a_MH590700	[5485, 6267]
REF_8a_MH590701	[5488, 6270]
REF_8_MH590698	[5485, 6267]
REF_MASTER_NC_004102	[5475, 6257]
