refName	segments
REF_1a_AF009606	[342, 914]
REF_1a_EF407457	[146, 718]
REF_1a_HQ850279	[191, 763]
REF_1a_M62321	[342, 914]
REF_1a_M67463	[342, 914]
REF_1a_NC_004102	[342, 914]
REF_1b_D90208	[330, 902]
REF_1b_EU781827	[316, 888]
REF_1b_EU781828	[305, 877]
REF_1b_M58335	[333, 905]
REF_1c_AY051292	[342, 914]
REF_1c_AY651061	[342, 914]
REF_1c_D14853	[342, 914]
REF_1d_KJ439768	[342, 914]
REF_1e_KC248194	[341, 913]
REF_1g_AM910652	[314, 886]
REF_1h_KC248198	[342, 914]
REF_1h_KC248199	[342, 914]
REF_1i_KJ439772	[342, 914]
REF_1j_KJ439773	[342, 914]
REF_1k_KJ439774	[342, 914]
REF_1l_KC248193	[343, 915]
REF_1l_KC248196	[343, 915]
REF_1l_KC248197	[343, 915]
REF_1m_KJ439778	[342, 914]
REF_1m_KJ439782	[342, 914]
REF_1n_KJ439775	[342, 914]
REF_1n_KJ439781	[343, 915]
REF_1o_KJ439779	[343, 915]
REF_1o_MH885469	[284, 856]
REF_1_AJ851228	[315, 887]
REF_1_HQ537007	[236, 808]
REF_1_KC248195	[342, 914]
REF_1_KJ439776	[343, 915]
REF_1_KJ439777	[342, 914]
REF_1_KJ439780	[342, 914]
REF_1_NC_004102	[342, 914]
REF_2a_AB047639	[341, 913]
REF_2a_D00944	[341, 913]
REF_2a_HQ639944	[277, 849]
REF_2b_AB030907	[342, 914]
REF_2b_AB661382	[1, 573]
REF_2b_AB661388	[1, 573]
REF_2b_D10988	[342, 914]
REF_2c_D50409	[341, 913]
REF_2c_JX227949	[256, 828]
REF_2d_JF735114	[341, 913]
REF_2e_JF735120	[341, 913]
REF_2f_KC844042	[341, 913]
REF_2f_KC844050	[341, 913]
REF_2i_DQ155561	[314, 886]
REF_2j_HM777358	[261, 833]
REF_2j_HM777359	[261, 833]
REF_2j_JF735113	[341, 913]
REF_2k_AB031663	[342, 914]
REF_2k_JX227953	[263, 835]
REF_2m_JF735111	[341, 913]
REF_2m_JX227967	[264, 836]
REF_2q_FN666428	[314, 886]
REF_2q_FN666429	[314, 886]
REF_2r_JF735115	[341, 913]
REF_2t_KC197238	[314, 886]
REF_2u_JF735112	[341, 913]
REF_2_D00944	[341, 913]
REF_2_JF735110	[341, 913]
REF_2_JF735116	[341, 913]
REF_2_JF735117	[341, 913]
REF_2_JF735118	[341, 913]
REF_2_JF735119	[342, 914]
REF_2_KC197236	[314, 886]
REF_2_KC197237	[314, 886]
REF_2_KC197239	[314, 886]
REF_3a_D17763	[340, 912]
REF_3a_D28917	[340, 912]
REF_3a_JN714194	[344, 916]
REF_3a_X76918	[299, 871]
REF_3b_D49374	[340, 912]
REF_3b_JQ065709	[315, 887]
REF_3d_KJ470619	[341, 913]
REF_3e_KJ470618	[340, 912]
REF_3g_JF735123	[340, 912]
REF_3g_JX227954	[265, 837]
REF_3h_JF735121	[340, 912]
REF_3h_JF735126	[340, 912]
REF_3i_FJ407092	[341, 913]
REF_3i_JX227955	[266, 838]
REF_3k_D63821	[340, 912]
REF_3k_JF735122	[340, 912]
REF_3_D17763	[340, 912]
REF_3_JF735124	[340, 912]
REF_4a_DQ418789	[262, 834]
REF_4a_DQ988074	[260, 832]
REF_4a_Y11604	[280, 852]
