refName	segments
REF_1a_AF009606	[3420, 5312]
REF_1a_EF407457	[3224, 5116]
REF_1a_HQ850279	[3269, 5161]
REF_1a_M62321	[3420, 5312]
REF_1a_M67463	[3420, 5312]
REF_1a_NC_004102	[3420, 5312]
REF_1b_D90208	[3408, 5300]
REF_1b_EU781827	[3394, 5286]
REF_1b_EU781828	[3383, 5275]
REF_1b_M58335	[3411, 5303]
REF_1c_AY051292	[3420, 5312]
REF_1c_AY651061	[3420, 5312]
REF_1c_D14853	[3420, 5312]
REF_1d_KJ439768	[3420, 5312]
REF_1e_KC248194	[3431, 5323]
REF_1g_AM910652	[3404, 5296]
REF_1h_KC248198	[3423, 5315]
REF_1h_KC248199	[3423, 5315]
REF_1i_KJ439772	[3432, 5324]
REF_1j_KJ439773	[3420, 5312]
REF_1k_KJ439774	[3420, 5312]
REF_1l_KC248193	[3439, 5331]
REF_1l_KC248196	[3439, 5331]
REF_1l_KC248197	[3442, 5334]
REF_1m_KJ439778	[3423, 5315]
REF_1m_KJ439782	[3420, 5312]
REF_1n_KJ439775	[3420, 5312]
REF_1n_KJ439781	[3421, 5313]
REF_1o_KJ439779	[3421, 5313]
REF_1o_MH885469	[3371, 5263]
REF_1_AJ851228	[3396, 5288]
REF_1_HQ537007	[3314, 5206]
REF_1_KC248195	[3444, 5336]
REF_1_KJ439776	[3439, 5331]
REF_1_KJ439777	[3420, 5312]
REF_1_KJ439780	[3420, 5312]
REF_1_NC_004102	[3420, 5312]
REF_2a_AB047639	[3431, 5323]
REF_2a_D00944	[3431, 5323]
REF_2a_HQ639944	[3367, 5259]
REF_2b_AB030907	[3432, 5324]
REF_2b_AB661382	[3091, 4983]
REF_2b_AB661388	[3091, 4983]
REF_2b_D10988	[3432, 5324]
REF_2c_D50409	[3431, 5323]
REF_2c_JX227949	[3370, 5262]
REF_2d_JF735114	[3431, 5323]
REF_2e_JF735120	[3632, 5524]
REF_2f_KC844042	[3431, 5323]
REF_2f_KC844050	[3431, 5323]
REF_2i_DQ155561	[3404, 5296]
REF_2j_HM777358	[3351, 5243]
REF_2j_HM777359	[3351, 5243]
REF_2j_JF735113	[3431, 5323]
REF_2k_AB031663	[3432, 5324]
REF_2k_JX227953	[3353, 5245]
REF_2m_JF735111	[3431, 5323]
REF_2m_JX227967	[3354, 5246]
REF_2q_FN666428	[3404, 5296]
REF_2q_FN666429	[3404, 5296]
REF_2r_JF735115	[3431, 5323]
REF_2t_KC197238	[3410, 5302]
REF_2u_JF735112	[3431, 5323]
REF_2_D00944	[3431, 5323]
REF_2_JF735110	[3431, 5323]
REF_2_JF735116	[3431, 5323]
REF_2_JF735117	[3425, 5317]
REF_2_JF735118	[3431, 5323]
REF_2_JF735119	[3429, 5321]
REF_2_KC197236	[3404, 5296]
REF_2_KC197237	[3404, 5296]
REF_2_KC197239	[3407, 5299]
REF_3a_D17763	[3436, 5328]
REF_3a_D28917	[3436, 5328]
REF_3a_JN714194	[3440, 5332]
REF_3a_X76918	[3395, 5287]
REF_3b_D49374	[3442, 5334]
REF_3b_JQ065709	[3414, 5306]
REF_3d_KJ470619	[3437, 5329]
REF_3e_KJ470618	[3433, 5325]
REF_3g_JF735123	[3439, 5331]
REF_3g_JX227954	[3364, 5256]
REF_3h_JF735121	[3433, 5325]
REF_3h_JF735126	[3433, 5325]
REF_3i_FJ407092	[3437, 5329]
REF_3i_JX227955	[3362, 5254]
REF_3k_D63821	[3433, 5325]
REF_3k_JF735122	[3433, 5325]
REF_3_D17763	[3436, 5328]
REF_3_JF735124	[3430, 5322]
REF_4a_DQ418789	[3340, 5232]
REF_4a_DQ988074	[3335, 5227]
REF_4a_Y11604	[3358, 5250]
