refName	segments
REF_1a_AF009606	[6258, 7601]
REF_1a_EF407457	[6062, 7405]
REF_1a_HQ850279	[6107, 7450]
REF_1a_M62321	[6258, 7601]
REF_1a_M67463	[6258, 7601]
REF_1a_NC_004102	[6258, 7601]
REF_1b_D90208	[6246, 7586]
REF_1b_EU781827	[6232, 7572]
REF_1b_EU781828	[6221, 7561]
REF_1b_M58335	[6249, 7589]
REF_1c_AY051292	[6258, 7601]
REF_1c_AY651061	[6258, 7601]
REF_1c_D14853	[6258, 7601]
REF_1d_KJ439768	[6258, 7598]
REF_1e_KC248194	[6269, 7612]
REF_1g_AM910652	[6242, 7585]
REF_1h_KC248198	[6261, 7604]
REF_1h_KC248199	[6261, 7604]
REF_1i_KJ439772	[6270, 7610]
REF_1j_KJ439773	[6258, 7601]
REF_1k_KJ439774	[6258, 7601]
REF_1l_KC248193	[6277, 7620]
REF_1l_KC248196	[6277, 7620]
REF_1l_KC248197	[6280, 7623]
REF_1m_KJ439778	[6261, 7604]
REF_1m_KJ439782	[6258, 7601]
REF_1n_KJ439775	[6258, 7601]
REF_1n_KJ439781	[6259, 7602]
REF_1o_KJ439779	[6259, 7602]
REF_1o_MH885469	[6209, 7552]
REF_1_AJ851228	[6234, 7574]
REF_1_HQ537007	[6152, 7495]
REF_1_KC248195	[6282, 7628]
REF_1_KJ439776	[6277, 7620]
REF_1_KJ439777	[6258, 7601]
REF_1_KJ439780	[6258, 7601]
REF_1_NC_004102	[6258, 7601]
REF_2a_AB047639	[6269, 7666]
REF_2a_D00944	[6269, 7666]
REF_2a_HQ639944	[6205, 7602]
REF_2b_AB030907	[6270, 7667]
REF_2b_AB661382	[5929, 7326]
REF_2b_AB661388	[5929, 7326]
REF_2b_D10988	[6270, 7667]
REF_2c_D50409	[6269, 7678]
REF_2c_JX227949	[6208, 7614]
REF_2d_JF735114	[6269, 7666]
REF_2e_JF735120	[6470, 7882]
REF_2f_KC844042	[6269, 7666]
REF_2f_KC844050	[6269, 7666]
REF_2i_DQ155561	[6242, 7636]
REF_2j_HM777358	[6189, 7586]
REF_2j_HM777359	[6189, 7586]
REF_2j_JF735113	[6269, 7666]
REF_2k_AB031663	[6270, 7667]
REF_2k_JX227953	[6191, 7588]
REF_2m_JF735111	[6269, 7669]
REF_2m_JX227967	[6192, 7592]
REF_2q_FN666428	[6242, 7639]
REF_2q_FN666429	[6242, 7639]
REF_2r_JF735115	[6269, 7666]
REF_2t_KC197238	[6248, 7645]
REF_2u_JF735112	[6269, 7678]
REF_2_D00944	[6269, 7666]
REF_2_JF735110	[6269, 7666]
REF_2_JF735116	[6269, 7666]
REF_2_JF735117	[6263, 7660]
REF_2_JF735118	[6269, 7666]
REF_2_JF735119	[6267, 7676]
REF_2_KC197236	[6242, 7639]
REF_2_KC197237	[6242, 7639]
REF_2_KC197239	[6245, 7642]
REF_3a_D17763	[6274, 7629]
REF_3a_D28917	[6274, 7629]
REF_3a_JN714194	[6278, 7633]
REF_3a_X76918	[6233, 7588]
REF_3b_D49374	[6280, 7635]
REF_3b_JQ065709	[6252, 7607]
REF_3d_KJ470619	[6275, 7630]
REF_3e_KJ470618	[6271, 7629]
REF_3g_JF735123	[6277, 7638]
REF_3g_JX227954	[6202, 7557]
REF_3h_JF735121	[6271, 7623]
REF_3h_JF735126	[6271, 7623]
REF_3i_FJ407092	[6275, 7630]
REF_3i_JX227955	[6200, 7555]
REF_3k_D63821	[6271, 7623]
REF_3k_JF735122	[6271, 7623]
REF_3_D17763	[6274, 7629]
REF_3_JF735124	[6268, 7629]
REF_4a_DQ418789	[6178, 7512]
REF_4a_DQ988074	[6173, 7507]
REF_4a_Y11604	[6196, 7530]
REF_4b_FJ462435	[6257, 7600]
REF_4c_FJ462436	[6257, 7633]
REF_4d_DQ418786	[6148, 7482]
REF_4d_EU392172	[6176, 7507]
REF_4d_FJ462437	[6254, 7585]
REF_4f_EF589161	[6197, 7531]
REF_4f_EU392174	[6185, 7516]
REF_4f_EU392175	[6184, 7515]
REF_4g?_JX227963	[6168, 7511]
REF_4g_FJ462432	[6249, 7592]
REF_4g_JX227971	[6038, 7381]
REF_4k_EU392171	[6143, 7486]
REF_4k_EU392173	[6180, 7523]
REF_4k_FJ462438	[6258, 7601]
REF_4l_FJ839870	[6254, 7585]
REF_4l_JX227957	[6174, 7514]
REF_4m_FJ462433	[6255, 7586]
REF_4m_JX227972	[6177, 7508]
REF_4n_FJ462441	[6260, 7591]
REF_4n_JX227970	[6179, 7510]
REF_4o_FJ462440	[6258, 7583]
REF_4o_JX227977	[6165, 7493]
REF_4p_FJ462431	[6257, 7588]
REF_4q_FJ462434	[6255, 7598]
REF_4r_FJ462439	[6257, 7600]
REF_4r_JX227976	[6179, 7525]
REF_4s_JF735136	[6258, 7586]
REF_4t_FJ839869	[6257, 7588]
REF_4v_HQ537008	[6170, 7504]
REF_4v_HQ537009	[6173, 7507]
REF_4v_JX227959	[6187, 7521]
REF_4v_JX227960	[6143, 7468]
REF_4w_FJ025855	[6107, 7450]
REF_4w_FJ025856	[6107, 7450]
REF_4_FJ025854	[6107, 7447]
REF_4_JF735127	[6257, 7600]
REF_4_JF735129	[6254, 7585]
REF_4_JF735130	[6254, 7588]
REF_4_JF735131	[6255, 7586]
REF_4_JF735132	[6257, 7693]
REF_4_JF735134	[6257, 7600]
REF_4_JF735135	[6257, 7588]
REF_4_JF735138	[6260, 7603]
REF_4_JX227964	[6191, 7534]
REF_4_Y11604	[6196, 7530]
REF_5a_AF064490	[6166, 7515]
REF_5a_Y13184	[6199, 7548]
REF_5_AF064490	[6166, 7515]
REF_5_KT595242	[6166, 7518]
REF_6a_AY859526	[6227, 7579]
REF_6a_EU246930	[6248, 7600]
REF_6a_HQ639936	[6211, 7563]
REF_6a_Y12083	[6212, 7564]
REF_6b_D84262	[6274, 7626]
REF_6c_EF424629	[6256, 7611]
REF_6d_D84263	[6249, 7604]
REF_6e?_EU246931	[6242, 7594]
REF_6e_DQ314805	[6267, 7631]
REF_6e_EU246932	[6242, 7606]
REF_6f_DQ835760	[6255, 7619]
REF_6f_EU246936	[6230, 7594]
REF_6g_D63822	[6267, 7631]
REF_6g_DQ314806	[6267, 7631]
REF_6h_D84265	[6258, 7610]
REF_6i_DQ835762	[6261, 7613]
REF_6i_DQ835770	[6261, 7613]
REF_6j_DQ835761	[6261, 7613]
REF_6j_DQ835769	[6261, 7613]
REF_6k_D84264	[6261, 7613]
REF_6l_EF424628	[6261, 7613]
REF_6l_JX183556	[6261, 7613]
REF_6m_DQ835766	[6261, 7613]
REF_6m_DQ835767	[6261, 7613]
REF_6n_DQ278894	[6262, 7614]
REF_6n_DQ835768	[6258, 7610]
REF_6n_EU246938	[6233, 7585]
REF_6o_EF424627	[6258, 7613]
REF_6o_EU246934	[6233, 7588]
REF_6p_EF424626	[6259, 7614]
REF_6q_EF424625	[6259, 7611]
REF_6r_EU408328	[6258, 7613]
REF_6s_EU408329	[6261, 7613]
REF_6t_EF632071	[6244, 7599]
REF_6t_EU246939	[6233, 7588]
REF_6u_EU246940	[6239, 7591]
REF_6v_EU158186	[6230, 7582]
REF_6v_EU798760	[6261, 7613]
REF_6v_EU798761	[6230, 7582]
REF_6w_DQ278892	[6271, 7620]
REF_6w_EU643834	[5997, 7349]
REF_6w_EU643836	[5994, 7346]
REF_6xa_EU408330	[6245, 7600]
REF_6xa_EU408331	[6245, 7600]
REF_6xa_EU408332	[6245, 7600]
REF_6xb_JX183552	[6261, 7613]
REF_6xb_KJ567645	[6261, 7613]
REF_6xc_KJ567651	[6276, 7631]
REF_6xd_KM252789	[6273, 7625]
REF_6xd_KM252790	[6276, 7628]
REF_6xd_KM252791	[6276, 7628]
REF_6xe_JX183557	[6264, 7616]
REF_6xe_KM252792	[6264, 7616]
REF_6xf_KJ567646	[6267, 7622]
REF_6xf_KJ567647	[6259, 7614]
REF_6xg_MH492360	[6192, 7547]
REF_6xg_MH492361	[6192, 7547]
REF_6xg_MH492362	[6192, 7547]
REF_6xh_MG879000	[5929, 7281]
REF_6_DQ278891	[6260, 7612]
REF_6_DQ278893	[6261, 7613]
REF_6_JX183549	[6258, 7610]
REF_6_JX183550	[6258, 7610]
REF_6_JX183551	[6261, 7613]
REF_6_JX183553	[6261, 7613]
REF_6_JX183554	[6261, 7613]
REF_6_JX183558	[6261, 7613]
REF_6_KC844039	[6279, 7637]
REF_6_KC844040	[6264, 7616]
REF_6_KJ470620	[6272, 7636]
REF_6_KJ470621	[6269, 7633]
REF_6_KJ470622	[6268, 7632]
REF_6_KJ470623	[6256, 7623]
REF_6_KJ470624	[6269, 7633]
REF_6_KJ470625	[6256, 7617]
REF_6_KJ567644	[6246, 7598]
REF_6_KJ567648	[6262, 7617]
REF_6_KJ567649	[6273, 7628]
REF_6_KJ567650	[6273, 7628]
REF_6_KJ567652	[6270, 7625]
REF_6_MG878999	[5929, 7281]
REF_6_Y12083	[6212, 7564]
REF_7a_EF108306	[6268, 7605]
REF_7b_KX092342	[6271, 7608]
REF_7_EF108306	[6268, 7605]
REF_8a_MH590698	[6268, 7614]
REF_8a_MH590699	[6250, 7596]
REF_8a_MH590700	[6268, 7614]
REF_8a_MH590701	[6271, 7617]
REF_8_MH590698	[6268, 7614]
REF_MASTER_NC_004102	[6258, 7601]
