refName	segments
REF_1a_AF009606	[9378, 9646]
REF_1a_EF407457	[9182, 9286]
REF_1a_HQ850279	[9191, 9191]
REF_1a_M62321	[9378, 9401]
REF_1a_M67463	[9378, 9416]
REF_1a_NC_004102	[9378, 9646]
REF_1b_D90208	[9363, 9413]
REF_1b_EU781827	[9349, 9413]
REF_1b_EU781828	[9338, 9359]
REF_1b_M58335	[9366, 9416]
REF_1c_AY051292	[9378, 9441]
REF_1c_AY651061	[9378, 9441]
REF_1c_D14853	[9378, 9487]
REF_1d_KJ439768	[9375, 9451]
REF_1e_KC248194	[9389, 9422]
REF_1g_AM910652	[9362, 9490]
REF_1h_KC248198	[9381, 9421]
REF_1h_KC248199	[9381, 9420]
REF_1i_KJ439772	[9387, 9421]
REF_1j_KJ439773	[9378, 9413]
REF_1k_KJ439774	[9378, 9446]
REF_1l_KC248193	[9397, 9430]
REF_1l_KC248196	[9397, 9428]
REF_1l_KC248197	[9400, 9433]
REF_1m_KJ439778	[9381, 9448]
REF_1m_KJ439782	[9378, 9448]
REF_1n_KJ439775	[9378, 9411]
REF_1n_KJ439781	[9379, 9447]
REF_1o_KJ439779	[9379, 9413]
REF_1o_MH885469	[9327, 9359]
REF_1_AJ851228	[9351, 9481]
REF_1_KC248195	[9405, 9439]
REF_1_KJ439776	[9397, 9462]
REF_1_KJ439777	[9378, 9398]
REF_1_KJ439780	[9378, 9399]
REF_1_NC_004102	[9378, 9646]
REF_2a_AB047639	[9443, 9678]
REF_2a_D00944	[9443, 9589]
REF_2a_HQ639944	[9379, 9392]
REF_2b_AB030907	[9444, 9654]
REF_2b_D10988	[9444, 9511]
REF_2c_D50409	[9455, 9513]
REF_2c_JX227949	[9295, 9295]
REF_2d_JF735114	[9443, 9508]
REF_2e_JF735120	[9659, 9825]
REF_2f_KC844042	[9443, 9472]
REF_2f_KC844050	[9443, 9470]
REF_2j_HM777359	[9111, 9383]
REF_2j_JF735113	[9191, 9509]
REF_2k_AB031663	[9444, 9488]
REF_2k_JX227953	[9365, 9380]
REF_2m_JF735111	[9446, 9618]
REF_2m_JX227967	[9369, 9383]
REF_2q_FN666428	[9416, 9566]
REF_2q_FN666429	[9398, 9398]
REF_2r_JF735115	[9443, 9512]
REF_2t_KC197238	[9422, 9616]
REF_2u_JF735112	[9455, 9520]
REF_2_D00944	[9443, 9589]
REF_2_JF735110	[9443, 9508]
REF_2_JF735116	[9443, 9514]
REF_2_JF735117	[9437, 9510]
REF_2_JF735118	[9443, 9615]
REF_2_JF735119	[9453, 9628]
REF_3a_D17763	[9406, 9456]
REF_3a_D28917	[9406, 9454]
REF_3a_JN714194	[9410, 9429]
REF_3a_X76918	[9365, 9390]
REF_3b_D49374	[9412, 9444]
REF_3d_KJ470619	[9407, 9458]
REF_3e_KJ470618	[9406, 9458]
REF_3g_JF735123	[9415, 9634]
REF_3g_JX227954	[9334, 9353]
REF_3h_JF735121	[9400, 9579]
REF_3h_JF735126	[9400, 9633]
REF_3i_FJ407092	[9407, 9433]
REF_3i_JX227955	[9332, 9352]
REF_3k_D63821	[9400, 9450]
REF_3k_JF735122	[9400, 9660]
REF_3_D17763	[9406, 9456]
REF_3_JF735124	[9406, 9583]
REF_4a_DQ418789	[9289, 9295]
REF_4a_DQ988074	[9053, 9054]
REF_4a_Y11604	[9307, 9355]
REF_4b_FJ462435	[9377, 9440]
REF_4c_FJ462436	[9410, 9468]
REF_4d_DQ418786	[9259, 9273]
REF_4d_EU392172	[9284, 9299]
REF_4d_FJ462437	[9089, 9421]
REF_4f_EU392174	[9290, 9298]
REF_4f_EU392175	[9289, 9297]
REF_4g?_JX227963	[9288, 9314]
REF_4g_FJ462432	[9369, 9435]
REF_4g_JX227971	[9158, 9174]
REF_4k_EU392171	[9263, 9281]
REF_4k_EU392173	[9300, 9312]
REF_4k_FJ462438	[9378, 9438]
REF_4l_FJ839870	[9362, 9388]
REF_4l_JX227957	[9291, 9317]
REF_4m_FJ462433	[9363, 9425]
REF_4m_JX227972	[9285, 9305]
REF_4n_FJ462441	[9368, 9435]
REF_4n_JX227970	[9287, 9301]
REF_4o_FJ462440	[9360, 9422]
REF_4o_JX227977	[9270, 9286]
REF_4p_FJ462431	[9365, 9475]
REF_4q_FJ462434	[9375, 9433]
REF_4r_FJ462439	[9377, 9440]
REF_4r_JX227976	[9302, 9319]
REF_4s_JF735136	[9363, 9426]
REF_4t_FJ839869	[9365, 9488]
REF_4v_HQ537008	[9173, 9174]
REF_4v_HQ537009	[9176, 9177]
REF_4v_JX227959	[9298, 9323]
REF_4v_JX227960	[9245, 9270]
REF_4w_FJ025855	[9227, 9242]
REF_4w_FJ025856	[9227, 9271]
REF_4_FJ025854	[9224, 9267]
REF_4_JF735127	[9377, 9441]
REF_4_JF735129	[9362, 9426]
REF_4_JF735130	[9365, 9430]
REF_4_JF735131	[9363, 9426]
REF_4_JF735132	[9470, 9535]
REF_4_JF735134	[9377, 9437]
REF_4_JF735135	[9365, 9431]
REF_4_JF735138	[9380, 9563]
REF_4_JX227964	[9311, 9337]
REF_4_Y11604	[9307, 9355]
REF_5a_AF064490	[9292, 9408]
REF_5a_Y13184	[9325, 9343]
REF_5_AF064490	[9292, 9408]
REF_6b_D84262	[9403, 9628]
REF_6c_EF424629	[9388, 9459]
REF_6d_D84263	[9381, 9615]
REF_6e_DQ314805	[9408, 9468]
REF_6f_DQ835760	[9396, 9454]
REF_6g_D63822	[9408, 9461]
REF_6g_DQ314806	[9408, 9462]
REF_6h_D84265	[9387, 9621]
REF_6i_DQ835762	[9390, 9458]
REF_6i_DQ835770	[9390, 9447]
REF_6j_DQ835761	[9390, 9442]
REF_6j_DQ835769	[9390, 9454]
REF_6k_D84264	[9390, 9601]
REF_6l_EF424628	[9390, 9453]
REF_6l_JX183556	[9390, 9413]
REF_6m_DQ835766	[9390, 9449]
REF_6m_DQ835767	[9390, 9444]
REF_6n_DQ278894	[9391, 9441]
REF_6n_DQ835768	[9387, 9447]
REF_6o_EF424627	[9390, 9450]
REF_6p_EF424626	[9391, 9453]
REF_6q_EF424625	[9388, 9463]
REF_6r_EU408328	[9390, 9449]
REF_6s_EU408329	[9390, 9473]
REF_6t_EF632071	[9376, 9406]
REF_6v_EU158186	[9359, 9429]
REF_6v_EU798760	[9390, 9461]
REF_6v_EU798761	[9359, 9429]
REF_6w_DQ278892	[9397, 9448]
REF_6w_EU643834	[9126, 9147]
REF_6w_EU643836	[9123, 9144]
REF_6xa_EU408330	[9377, 9451]
REF_6xa_EU408331	[9377, 9470]
REF_6xa_EU408332	[9377, 9443]
REF_6xb_JX183552	[9390, 9533]
REF_6xb_KJ567645	[9390, 9401]
REF_6xc_KJ567651	[9408, 9442]
REF_6xd_KM252789	[9402, 9432]
REF_6xd_KM252790	[9405, 9435]
REF_6xd_KM252791	[9405, 9434]
REF_6xe_JX183557	[9393, 9460]
REF_6xe_KM252792	[9393, 9401]
REF_6xf_KJ567646	[9399, 9428]
REF_6xf_KJ567647	[9391, 9421]
REF_6_DQ278891	[9389, 9440]
REF_6_DQ278893	[9390, 9430]
REF_6_JX183549	[9387, 9448]
REF_6_JX183550	[9387, 9459]
REF_6_JX183551	[9390, 9412]
REF_6_JX183553	[9390, 9446]
REF_6_JX183554	[9390, 9423]
REF_6_JX183558	[9390, 9454]
REF_6_KC844039	[9414, 9488]
REF_6_KC844040	[9393, 9447]
REF_6_KJ470620	[9413, 9471]
REF_6_KJ470621	[9410, 9475]
REF_6_KJ470622	[9409, 9474]
REF_6_KJ470623	[9400, 9435]
REF_6_KJ470624	[9410, 9474]
REF_6_KJ470625	[9394, 9430]
REF_6_KJ567644	[9375, 9397]
REF_6_KJ567648	[9394, 9485]
REF_6_KJ567649	[9405, 9471]
REF_6_KJ567650	[9405, 9469]
REF_6_KJ567652	[9402, 9434]
REF_8a_MH590698	[9391, 9409]
REF_8a_MH590700	[9391, 9547]
REF_8a_MH590701	[9394, 9437]
REF_8_MH590698	[9391, 9409]
REF_MASTER_NC_004102	[9378, 9620]
