+==========+==========+==========+==========+==========+==========+==========+==========+===========+===========+===========+===========+===========+===========+===========+===========+===========+
|          |          |genotypeCl|genotypeCl|genotypeCl|genotypeCl|genotypeCl|genotypeCl|genotypeClo|           |           |subtypeClos|subtypeClos|subtypeClos|subtypeClos|subtypeClos|subtypeClos|
|queryName |genotypeFi|adeBalance|osestMembe|osestMembe|osestMembe|osestTarge|osestTarge|sestTargetS|subtypeFina|subtypeClad|estMemberAl|estMemberSo|estMemberSe|estTargetAl|estTargetSo|estTargetSe|
|          | nalClade |          |rAlignment|rSourceNam|rSequenceI|tAlignment|tSourceNam| equenceID |  lClade   | eBalance  |ignmentName| urceName  | quenceID  |ignmentName| urceName  | quenceID  |
|          |          |          |          |          |          |          |          |           |           |           |           |           |           |           |           |           |
+==========+==========+==========+==========+==========+==========+==========+==========+===========+===========+===========+===========+===========+===========+===========+===========+===========+
|NGS91/1000|AL_3      |AL_3:100.0|AL_3a     |ncbi-refse|D17763    |AL_3a     |ncbi-refse|D17763     |AL_3a      |AL_3a:100.0|AL_3a      |ncbi-refseq|D17763     |AL_3a      |ncbi-refseq|D17763     |
|02_H204820|          |0%        |          |qs        |          |          |qs        |           |           |0%         |           |s          |           |           |s          |           |
|685-1     |          |          |          |          |          |          |          |           |           |           |           |           |           |           |           |           |
|NGS91/1000|AL_2      |AL_2:100.0|AL_2a     |ncbi-refse|D00944    |AL_2a     |ncbi-refse|D00944     |AL_2a      |AL_2a:100.0|AL_2a      |ncbi-refseq|D00944     |AL_2a      |ncbi-refseq|D00944     |
|03_H210161|          |0%        |          |qs        |          |          |qs        |           |           |0%         |           |s          |           |           |s          |           |
|351-1     |          |          |          |          |          |          |          |           |           |           |           |           |           |           |           |           |
|NGS91/1000|AL_1      |AL_1:100.0|AL_1a     |ncbi-refse|HQ850279  |AL_1a     |ncbi-refse|HQ850279   |-          |-          |-          |-          |-          |-          |-          |-          |
|04_H210180|          |0%        |          |qs        |          |          |qs        |           |           |           |           |           |           |           |           |           |
|794-1     |          |          |          |          |          |          |          |           |           |           |           |           |           |           |           |           |
|NGS91/1000|AL_1      |AL_1:100.0|AL_1a     |ncbi-refse|HQ850279  |AL_1a     |ncbi-refse|HQ850279   |-          |-          |-          |-          |-          |-          |-          |-          |
|05_H210180|          |0%        |          |qs        |          |          |qs        |           |           |           |           |           |           |           |           |           |
|795-1     |          |          |          |          |          |          |          |           |           |           |           |           |           |           |           |           |
|NGS91/1000|AL_1      |AL_1:100.0|AL_1a     |ncbi-refse|HQ850279  |AL_1a     |ncbi-refse|HQ850279   |-          |-          |-          |-          |-          |-          |-          |-          |
