refName	segments
REF_1a_AF009606	[1, 9646]
REF_1a_EF407457	[1, 9286]
REF_1a_HQ850279	[1, 9191]
REF_1a_M62321	[1, 9401]
REF_1a_M67463	[1, 9416]
REF_1a_NC_004102	[1, 9646]
REF_1b_D90208	[1, 9413]
REF_1b_EU781827	[1, 9413]
REF_1b_EU781828	[1, 9359]
REF_1b_M58335	[1, 9416]
REF_1c_AY051292	[1, 9441]
REF_1c_AY651061	[1, 9441]
REF_1c_D14853	[1, 9487]
REF_1d_KJ439768	[1, 9451]
REF_1e_KC248194	[1, 9422]
REF_1g_AM910652	[1, 9490]
REF_1h_KC248198	[1, 9421]
REF_1h_KC248199	[1, 9420]
REF_1i_KJ439772	[1, 9421]
REF_1j_KJ439773	[1, 9413]
REF_1k_KJ439774	[1, 9446]
REF_1l_KC248193	[1, 9430]
REF_1l_KC248196	[1, 9428]
REF_1l_KC248197	[1, 9433]
REF_1m_KJ439778	[1, 9448]
REF_1m_KJ439782	[1, 9448]
REF_1n_KJ439775	[1, 9411]
REF_1n_KJ439781	[1, 9447]
REF_1o_KJ439779	[1, 9413]
REF_1o_MH885469	[1, 9359]
REF_1_AJ851228	[1, 9481]
REF_1_HQ537007	[1, 9187]
REF_1_KC248195	[1, 9439]
REF_1_KJ439776	[1, 9462]
REF_1_KJ439777	[1, 9398]
REF_1_KJ439780	[1, 9399]
REF_1_NC_004102	[1, 9646]
REF_2a_AB047639	[1, 9678]
REF_2a_D00944	[1, 9589]
REF_2a_HQ639944	[1, 9392]
REF_2b_AB030907	[1, 9654]
REF_2b_AB661382	[1, 9102]
REF_2b_AB661388	[1, 9102]
REF_2b_D10988	[1, 9511]
REF_2c_D50409	[1, 9513]
REF_2c_JX227949	[1, 9295]
REF_2d_JF735114	[1, 9508]
REF_2e_JF735120	[1, 9825]
REF_2f_KC844042	[1, 9472]
REF_2f_KC844050	[1, 9470]
REF_2i_DQ155561	[1, 9370]
REF_2j_HM777358	[1, 9112]
REF_2j_HM777359	[1, 9383]
REF_2j_JF735113	[1, 9509]
REF_2k_AB031663	[1, 9488]
REF_2k_JX227953	[1, 9380]
REF_2m_JF735111	[1, 9618]
REF_2m_JX227967	[1, 9383]
REF_2q_FN666428	[1, 9566]
REF_2q_FN666429	[1, 9398]
REF_2r_JF735115	[1, 9512]
REF_2t_KC197238	[1, 9616]
REF_2u_JF735112	[1, 9520]
REF_2_D00944	[1, 9589]
REF_2_JF735110	[1, 9508]
REF_2_JF735116	[1, 9514]
REF_2_JF735117	[1, 9510]
REF_2_JF735118	[1, 9615]
REF_2_JF735119	[1, 9628]
REF_2_KC197236	[1, 9415]
REF_2_KC197237	[1, 9415]
REF_2_KC197239	[1, 9448]
REF_3a_D17763	[1, 9456]
REF_3a_D28917	[1, 9454]
REF_3a_JN714194	[1, 9429]
REF_3a_X76918	[1, 9390]
REF_3b_D49374	[1, 9444]
REF_3b_JQ065709	[1, 9383]
REF_3d_KJ470619	[1, 9458]
REF_3e_KJ470618	[1, 9458]
REF_3g_JF735123	[1, 9634]
REF_3g_JX227954	[1, 9353]
REF_3h_JF735121	[1, 9579]
REF_3h_JF735126	[1, 9633]
REF_3i_FJ407092	[1, 9433]
REF_3i_JX227955	[1, 9352]
REF_3k_D63821	[1, 9450]
REF_3k_JF735122	[1, 9660]
REF_3_D17763	[1, 9456]
REF_3_JF735124	[1, 9583]
REF_4a_DQ418789	[1, 9295]
REF_4a_DQ988074	[1, 9054]
