refName	segments
REF_1a_AF009606	[342, 9377]
REF_1a_EF407457	[146, 9181]
REF_1a_HQ850279	[191, 9191]
REF_1a_M62321	[342, 9377]
REF_1a_M67463	[342, 9377]
REF_1a_NC_004102	[342, 9377]
REF_1b_D90208	[330, 9362]
REF_1b_EU781827	[316, 9348]
REF_1b_EU781828	[305, 9337]
REF_1b_M58335	[333, 9365]
REF_1c_AY051292	[342, 9377]
REF_1c_AY651061	[342, 9377]
REF_1c_D14853	[342, 9377]
REF_1d_KJ439768	[342, 9374]
REF_1e_KC248194	[341, 9388]
REF_1g_AM910652	[314, 9361]
REF_1h_KC248198	[342, 9380]
REF_1h_KC248199	[342, 9380]
REF_1i_KJ439772	[342, 9386]
REF_1j_KJ439773	[342, 9377]
REF_1k_KJ439774	[342, 9377]
REF_1l_KC248193	[343, 9396]
REF_1l_KC248196	[343, 9396]
REF_1l_KC248197	[343, 9399]
REF_1m_KJ439778	[342, 9380]
REF_1m_KJ439782	[342, 9377]
REF_1n_KJ439775	[342, 9377]
REF_1n_KJ439781	[343, 9378]
REF_1o_KJ439779	[343, 9378]
REF_1o_MH885469	[284, 9328]
REF_1_AJ851228	[315, 9350]
REF_1_HQ537007	[236, 9187]
REF_1_KC248195	[342, 9404]
REF_1_KJ439776	[343, 9396]
REF_1_KJ439777	[342, 9377]
REF_1_KJ439780	[342, 9377]
REF_1_NC_004102	[342, 9377]
REF_2a_AB047639	[341, 9442]
REF_2a_D00944	[341, 9442]
REF_2a_HQ639944	[277, 9378]
REF_2b_AB030907	[342, 9443]
REF_2b_AB661382	[1, 9102]
REF_2b_AB661388	[1, 9102]
REF_2b_D10988	[342, 9443]
REF_2c_D50409	[341, 9454]
REF_2c_JX227949	[256, 9295]
REF_2d_JF735114	[341, 9442]
REF_2e_JF735120	[341, 9658]
REF_2f_KC844042	[341, 9442]
REF_2f_KC844050	[341, 9442]
REF_2i_DQ155561	[314, 9354]
REF_2j_HM777358	[261, 9112]
REF_2j_HM777359	[261, 9362]
REF_2j_JF735113	[341, 9442]
REF_2k_AB031663	[342, 9443]
REF_2k_JX227953	[263, 9364]
REF_2m_JF735111	[341, 9445]
REF_2m_JX227967	[264, 9368]
REF_2q_FN666428	[314, 9415]
REF_2q_FN666429	[314, 9398]
REF_2r_JF735115	[341, 9442]
REF_2t_KC197238	[314, 9421]
REF_2u_JF735112	[341, 9454]
REF_2_D00944	[341, 9442]
REF_2_JF735110	[341, 9442]
REF_2_JF735116	[341, 9442]
REF_2_JF735117	[341, 9436]
REF_2_JF735118	[341, 9442]
REF_2_JF735119	[342, 9452]
REF_2_KC197236	[314, 9415]
REF_2_KC197237	[314, 9415]
REF_2_KC197239	[314, 9418]
REF_3a_D17763	[340, 9405]
REF_3a_D28917	[340, 9405]
REF_3a_JN714194	[344, 9409]
REF_3a_X76918	[299, 9364]
REF_3b_D49374	[340, 9411]
REF_3b_JQ065709	[315, 9383]
REF_3d_KJ470619	[341, 9406]
REF_3e_KJ470618	[340, 9405]
REF_3g_JF735123	[340, 9414]
REF_3g_JX227954	[265, 9333]
REF_3h_JF735121	[340, 9399]
REF_3h_JF735126	[340, 9399]
REF_3i_FJ407092	[341, 9406]
REF_3i_JX227955	[266, 9331]
REF_3k_D63821	[340, 9399]
REF_3k_JF735122	[340, 9399]
REF_3_D17763	[340, 9405]
REF_3_JF735124	[340, 9405]
REF_4a_DQ418789	[262, 9288]
REF_4a_DQ988074	[260, 9054]
REF_4a_Y11604	[280, 9306]
REF_4b_FJ462435	[341, 9376]
REF_4c_FJ462436	[341, 9409]
REF_4d_DQ418786	[235, 9258]
REF_4d_EU392172	[263, 9283]
REF_4d_FJ462437	[341, 9088]
REF_4f_EF589161	[275, 9304]
REF_4f_EU392174	[263, 9292]
REF_4f_EU392175	[262, 9291]
REF_4g?_JX227963	[264, 9287]
