refName	segments
REF_1a_AF009606	[2580, 2768]
REF_1a_EF407457	[2384, 2572]
REF_1a_HQ850279	[2429, 2617]
REF_1a_M62321	[2580, 2768]
REF_1a_M67463	[2580, 2768]
REF_1a_NC_004102	[2580, 2768]
REF_1b_D90208	[2568, 2756]
REF_1b_EU781827	[2554, 2742]
REF_1b_EU781828	[2543, 2731]
REF_1b_M58335	[2571, 2759]
REF_1c_AY051292	[2580, 2768]
REF_1c_AY651061	[2580, 2768]
REF_1c_D14853	[2580, 2768]
REF_1d_KJ439768	[2580, 2768]
REF_1e_KC248194	[2591, 2779]
REF_1g_AM910652	[2564, 2752]
REF_1h_KC248198	[2583, 2771]
REF_1h_KC248199	[2583, 2771]
REF_1i_KJ439772	[2592, 2780]
REF_1j_KJ439773	[2580, 2768]
REF_1k_KJ439774	[2580, 2768]
REF_1l_KC248193	[2599, 2787]
REF_1l_KC248196	[2599, 2787]
REF_1l_KC248197	[2602, 2790]
REF_1m_KJ439778	[2583, 2771]
REF_1m_KJ439782	[2580, 2768]
REF_1n_KJ439775	[2580, 2768]
REF_1n_KJ439781	[2581, 2769]
REF_1o_KJ439779	[2581, 2769]
REF_1o_MH885469	[2531, 2719]
REF_1_AJ851228	[2556, 2744]
REF_1_HQ537007	[2474, 2662]
REF_1_KC248195	[2604, 2792]
REF_1_KJ439776	[2599, 2787]
REF_1_KJ439777	[2580, 2768]
REF_1_KJ439780	[2580, 2768]
REF_1_NC_004102	[2580, 2768]
REF_2a_AB047639	[2591, 2779]
REF_2a_D00944	[2591, 2779]
REF_2a_HQ639944	[2527, 2715]
REF_2b_AB030907	[2592, 2780]
REF_2b_AB661382	[2251, 2439]
REF_2b_AB661388	[2251, 2439]
REF_2b_D10988	[2592, 2780]
REF_2c_D50409	[2591, 2779]
REF_2c_JX227949	[2506, 2694]
REF_2d_JF735114	[2591, 2779]
REF_2e_JF735120	[2591, 2779]
REF_2f_KC844042	[2591, 2779]
REF_2f_KC844050	[2591, 2779]
REF_2i_DQ155561	[2564, 2752]
REF_2j_HM777358	[2511, 2699]
REF_2j_HM777359	[2511, 2699]
REF_2j_JF735113	[2591, 2779]
REF_2k_AB031663	[2592, 2780]
REF_2k_JX227953	[2513, 2701]
REF_2m_JF735111	[2591, 2779]
REF_2m_JX227967	[2514, 2702]
REF_2q_FN666428	[2564, 2752]
REF_2q_FN666429	[2564, 2752]
REF_2r_JF735115	[2591, 2779]
REF_2t_KC197238	[2570, 2758]
REF_2u_JF735112	[2591, 2779]
REF_2_D00944	[2591, 2779]
REF_2_JF735110	[2591, 2779]
REF_2_JF735116	[2591, 2779]
REF_2_JF735117	[2585, 2773]
REF_2_JF735118	[2591, 2779]
REF_2_JF735119	[2589, 2777]
REF_2_KC197236	[2564, 2752]
REF_2_KC197237	[2564, 2752]
REF_2_KC197239	[2567, 2755]
REF_3a_D17763	[2596, 2784]
REF_3a_D28917	[2596, 2784]
REF_3a_JN714194	[2600, 2788]
REF_3a_X76918	[2555, 2743]
REF_3b_D49374	[2602, 2790]
REF_3b_JQ065709	[2574, 2762]
REF_3d_KJ470619	[2597, 2785]
REF_3e_KJ470618	[2593, 2781]
REF_3g_JF735123	[2599, 2787]
REF_3g_JX227954	[2524, 2712]
REF_3h_JF735121	[2593, 2781]
REF_3h_JF735126	[2593, 2781]
REF_3i_FJ407092	[2597, 2785]
REF_3i_JX227955	[2522, 2710]
REF_3k_D63821	[2593, 2781]
REF_3k_JF735122	[2593, 2781]
REF_3_D17763	[2596, 2784]
REF_3_JF735124	[2590, 2778]
REF_4a_DQ418789	[2500, 2688]
REF_4a_DQ988074	[2495, 2683]
REF_4a_Y11604	[2518, 2706]
REF_4b_FJ462435	[2579, 2767]
REF_4c_FJ462436	[2579, 2767]
REF_4d_DQ418786	[2470, 2658]
REF_4d_EU392172	[2498, 2686]
REF_4d_FJ462437	[2576, 2764]
REF_4f_EF589161	[2519, 2707]
REF_4f_EU392174	[2507, 2695]
REF_4f_EU392175	[2506, 2694]
REF_4g?_JX227963	[2490, 2678]
REF_4g_FJ462432	[2571, 2759]
REF_4g_JX227971	[2360, 2548]
REF_4k_EU392171	[2465, 2653]
REF_4k_EU392173	[2502, 2690]
REF_4k_FJ462438	[2580, 2768]
REF_4l_FJ839870	[2576, 2764]
REF_4l_JX227957	[2496, 2684]
REF_4m_FJ462433	[2577, 2765]
REF_4m_JX227972	[2499, 2687]
REF_4n_FJ462441	[2582, 2770]
REF_4n_JX227970	[2501, 2689]
REF_4o_FJ462440	[2580, 2768]
REF_4o_JX227977	[2487, 2675]
REF_4p_FJ462431	[2579, 2767]
REF_4q_FJ462434	[2577, 2765]
REF_4r_FJ462439	[2579, 2767]
REF_4r_JX227976	[2501, 2689]
REF_4s_JF735136	[2580, 2768]
REF_4t_FJ839869	[2579, 2767]
REF_4v_HQ537008	[2492, 2680]
REF_4v_HQ537009	[2495, 2683]
REF_4v_JX227959	[2509, 2697]
REF_4v_JX227960	[2465, 2653]
REF_4w_FJ025855	[2429, 2617]
REF_4w_FJ025856	[2429, 2617]
REF_4_FJ025854	[2429, 2617]
REF_4_JF735127	[2579, 2767]
REF_4_JF735129	[2576, 2764]
REF_4_JF735130	[2576, 2764]
REF_4_JF735131	[2577, 2765]
REF_4_JF735132	[2579, 2767]
REF_4_JF735134	[2579, 2767]
REF_4_JF735135	[2579, 2767]
REF_4_JF735138	[2582, 2770]
REF_4_JX227964	[2513, 2701]
REF_4_Y11604	[2518, 2706]
REF_5a_AF064490	[2488, 2676]
REF_5a_Y13184	[2521, 2709]
REF_5_AF064490	[2488, 2676]
REF_5_KT595242	[2488, 2676]
REF_6a_AY859526	[2549, 2737]
REF_6a_EU246930	[2570, 2758]
REF_6a_HQ639936	[2533, 2721]
REF_6a_Y12083	[2534, 2722]
REF_6b_D84262	[2596, 2784]
REF_6c_EF424629	[2578, 2766]
REF_6d_D84263	[2571, 2759]
REF_6e?_EU246931	[2564, 2752]
REF_6e_DQ314805	[2589, 2777]
REF_6e_EU246932	[2564, 2752]
REF_6f_DQ835760	[2577, 2765]
REF_6f_EU246936	[2552, 2740]
REF_6g_D63822	[2589, 2777]
REF_6g_DQ314806	[2589, 2777]
REF_6h_D84265	[2580, 2768]
REF_6i_DQ835762	[2583, 2771]
REF_6i_DQ835770	[2583, 2771]
REF_6j_DQ835761	[2583, 2771]
REF_6j_DQ835769	[2583, 2771]
REF_6k_D84264	[2583, 2771]
REF_6l_EF424628	[2583, 2771]
REF_6l_JX183556	[2583, 2771]
REF_6m_DQ835766	[2583, 2771]
REF_6m_DQ835767	[2583, 2771]
REF_6n_DQ278894	[2584, 2772]
REF_6n_DQ835768	[2580, 2768]
REF_6n_EU246938	[2555, 2743]
REF_6o_EF424627	[2580, 2768]
REF_6o_EU246934	[2555, 2743]
REF_6p_EF424626	[2581, 2769]
REF_6q_EF424625	[2581, 2769]
REF_6r_EU408328	[2580, 2768]
REF_6s_EU408329	[2583, 2771]
REF_6t_EF632071	[2566, 2754]
REF_6t_EU246939	[2555, 2743]
REF_6u_EU246940	[2561, 2749]
REF_6v_EU158186	[2552, 2740]
REF_6v_EU798760	[2583, 2771]
REF_6v_EU798761	[2552, 2740]
REF_6w_DQ278892	[2593, 2781]
REF_6w_EU643834	[2319, 2507]
REF_6w_EU643836	[2316, 2504]
REF_6xa_EU408330	[2567, 2755]
REF_6xa_EU408331	[2567, 2755]
REF_6xa_EU408332	[2567, 2755]
REF_6xb_JX183552	[2583, 2771]
REF_6xb_KJ567645	[2583, 2771]
REF_6xc_KJ567651	[2598, 2786]
REF_6xd_KM252789	[2595, 2783]
REF_6xd_KM252790	[2598, 2786]
REF_6xd_KM252791	[2598, 2786]
REF_6xe_JX183557	[2586, 2774]
REF_6xe_KM252792	[2586, 2774]
REF_6xf_KJ567646	[2589, 2777]
REF_6xf_KJ567647	[2581, 2769]
REF_6xg_MH492360	[2514, 2702]
REF_6xg_MH492361	[2514, 2702]
REF_6xg_MH492362	[2514, 2702]
